name,birthday,nationality
RobertDowneyJr.,1965-04-04,US
ScarlettJohansson,1984-11-22,US
ChrisHemsworth,1983-08-11,AU
MargotRobbie,1990-07-02,AU
DanielRadcliffe,1989-07-23,GB
EmmaWatson,1990-04-15,GB
LeonardoDiCaprio,1974-11-11,US
NataliePortman,1981-06-09,IL
RyanGosling,1980-11-12,CA
GalGadot,1985-04-30,IL
TomHiddleston,1981-02-09,GB
Zendaya,1996-09-01,US
HughJackman,1968-10-12,AU
AnneHathaway,1982-11-12,US
KeanuReeves,1964-09-02,CA
SalmaHayek,1966-09-02,MX
JavierBardem,1969-03-01,ES
PenélopeCruz,1974-04-28,ES
LupitaNyong'o,1983-03-01,KE
DevPatel,1990-04-23,GB
