title,release_date,resume,genre,actor_name,birthday,nationality
Iron Man,2008-05-02,"Um bilionário e gênio da tecnologia, Tony Stark, cria uma armadura avançada para salvar sua vida e combater o crime.","Action",Robert Downey Jr.,1965-04-04,US
Avengers: Endgame,2019-04-26,"Os Vingadores restantes tentam reverter as ações de Thanos e restaurar o equilíbrio do universo.","Action",Robert Downey Jr.,1965-04-04,US
Lucy,2014-07-25,"Uma mulher desenvolve habilidades super-humanas após acidentalmente ingerir uma droga experimental.","Science Fiction",Scarlett Johansson,1984-11-22,US
Black Widow,2021-07-09,"Natasha Romanoff enfrenta seu passado enquanto tenta derrubar uma conspiração perigosa.","Action",Scarlett Johansson,1984-11-22,US
Thor: Ragnarok,2017-11-03,"Thor deve escapar de um planeta alienígena para salvar Asgard da destruição iminente.","Fantasy",Chris Hemsworth,1983-08-11,AU
Extraction,2020-04-24,"Um mercenário embarca em uma missão para resgatar o filho de um criminoso internacional.","Action",Chris Hemsworth,1983-08-11,AU
I, Tonya,2017-12-08,"A história da controversa patinadora Tonya Harding e seu envolvimento em um dos maiores escândalos esportivos.","Biography",Margot Robbie,1990-07-02,AU
Birds of Prey,2020-02-07,"Harley Quinn se junta a outras mulheres poderosas para salvar uma jovem de um senhor do crime.","Action",Margot Robbie,1990-07-02,AU
Harry Potter and the Philosopher's Stone,2001-11-16,"O jovem Harry Potter descobre ser um bruxo e começa sua jornada na escola de magia de Hogwarts.","Fantasy",Daniel Radcliffe,1989-07-23,GB
The Woman in Black,2012-02-03,"Um advogado investiga uma vila assombrada por um espírito vingativo.","Horror",Daniel Radcliffe,1989-07-23,GB
Beauty and the Beast,2017-03-17,"Uma jovem é mantida prisioneira em um castelo encantado e encontra amor com uma fera.","Fantasy",Emma Watson,1990-04-15,GB
Little Women,2019-12-25,"Quatro irmãs enfrentam os desafios da vida e amor durante a Guerra Civil Americana.","Drama",Emma Watson,1990-04-15,GB
Inception,2010-07-16,"Um ladrão invade sonhos para roubar segredos, mas enfrenta desafios ao tentar plantar uma ideia.","Science Fiction",Leonardo DiCaprio,1974-11-11,US
The Revenant,2015-12-25,"Um homem luta para sobreviver e buscar vingança após ser deixado para morrer.","Adventure",Leonardo DiCaprio,1974-11-11,US
Black Swan,2010-12-03,"Uma bailarina é consumida por sua busca pela perfeição em um papel principal desafiador.","Drama",Natalie Portman,1981-06-09,IL
Thor: Love and Thunder,2022-07-08,"Thor embarca em uma jornada para encontrar paz interior, mas enfrenta uma ameaça galáctica.","Fantasy",Natalie Portman,1981-06-09,IL
La La Land,2016-12-09,"Um músico e uma atriz tentam equilibrar amor e ambição em Los Angeles.","Musical",Ryan Gosling,1980-11-12,CA
Blade Runner 2049,2017-10-06,"Um novo Blade Runner descobre um segredo enterrado que pode mudar a sociedade.","Science Fiction",Ryan Gosling,1980-11-12,CA
Wonder Woman,2017-06-02,"Diana Prince, uma guerreira amazona, deixa sua ilha para salvar o mundo durante a Primeira Guerra Mundial.","Action",Gal Gadot,1985-04-30,IL
Justice League,2017-11-17,"Heróis se unem para enfrentar uma ameaça global.","Action",Gal Gadot,1985-04-30,IL
Loki,2021-06-09,"O deus da travessura é capturado por uma agência que controla o tempo e deve enfrentar variantes de si mesmo.","Fantasy",Tom Hiddleston,1981-02-09,GB
The Night Manager,2016-02-21,"Um ex-soldado é recrutado para se infiltrar no mundo do crime internacional.","Drama",Tom Hiddleston,1981-02-09,GB
Dune,2021-10-22,"Um jovem herdeiro lidera uma luta em um planeta desértico rico em recursos valiosos.","Science Fiction",Zendaya,1996-09-01,US
The Greatest Showman,2017-12-20,"A vida de P.T. Barnum, o visionário que criou o showbusiness moderno.","Musical",Hugh Jackman,1968-10-12,AU
The Dark Knight Rises,2012-07-20,"Bruce Wayne retorna como Batman para salvar Gotham de uma nova ameaça.","Action",Anne Hathaway,1982-11-12,US
The Matrix,1999-03-31,"Um hacker descobre a verdade sobre a realidade e seu papel em uma rebelião contra máquinas.","Science Fiction",Keanu Reeves,1964-09-02,CA
Frida,2002-08-29,"A biografia da artista mexicana Frida Kahlo, explorando sua arte e vida pessoal.","Biography",Salma Hayek,1966-09-02,MX
No Country for Old Men,2007-11-09,"Um homem se envolve em uma perseguição mortal após encontrar uma mala de dinheiro.","Crime",Javier Bardem,1969-03-01,ES
Vicky Cristina Barcelona,2008-08-15,"Duas amigas se envolvem em complicadas relações amorosas em Barcelona.","Romance",Penélope Cruz,1974-04-28,ES
Us,2019-03-22,"Uma família é aterrorizada por seus doppelgängers durante férias em uma casa de praia.","Horror",Lupita Nyong'o,1983-03-01,KE
Slumdog Millionaire,2008-11-12,"Um jovem indiano participa de um jogo de perguntas para provar sua inocência.","Drama",Dev Patel,1990-04-23,GB
